[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 9 | Node 0] Update[CR], stage: [Shuffle]
[Block 10 | Node 0] Verify[CR], stage: [Shuffle]
[Block 5 | Node 0] Mining, stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 5 | Node 0] Mining, stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 9 | Node 0] Update[CR], stage: [Shuffle]
[Block 10 | Node 0] Verify[CR], stage: [Shuffle]
[Block 10 | Node 0] Update[CR], stage: [Shuffle]
[Block 11 | Node 0] Verify[CR], stage: [Shuffle]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 5 | Node 0] Update, stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 9 | Node 0] Update[CR], stage: [Shuffle]
[Block 10 | Node 0] Verify[CR], stage: [Shuffle]
[Block 10 | Node 0] Update[CR], stage: [Shuffle]
[Block 11 | Node 0] Verify[CR], stage: [Shuffle]
[Block 11 | Node 0] Update[CR], stage: [Shuffle]
[Block 12 | Node 0] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 0: Verify Shuffle error: res is false
[Block 6 | Node 0] Mining, stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 6 | Node 0] Update, stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 9 | Node 0] Update[CR], stage: [Shuffle]
[Block 10 | Node 0] Verify[CR], stage: [Shuffle]
[Block 10 | Node 0] Update[CR], stage: [Shuffle]
[Block 11 | Node 0] Verify[CR], stage: [Shuffle]
[Block 11 | Node 0] Update[CR], stage: [Shuffle]
[Block 12 | Node 0] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 0: Verify Shuffle error: res is false
[Block 7 | Node 0] Mining, stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 7 | Node 0] Update, stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 9 | Node 0] Update[CR], stage: [Shuffle]
[Block 10 | Node 0] Verify[CR], stage: [Shuffle]
[Block 10 | Node 0] Update[CR], stage: [Shuffle]
[Block 11 | Node 0] Verify[CR], stage: [Shuffle]
[Block 11 | Node 0] Update[CR], stage: [Shuffle]
[Block 12 | Node 0] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 0: Verify Shuffle error: res is false
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 8 | Node 0] Mining, stage: [Init]
[Block 8 | Node 0] Update, stage: [Init]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 9 | Node 0] Update[CR], stage: [Shuffle]
[Block 10 | Node 0] Verify[CR], stage: [Shuffle]
[Block 10 | Node 0] Update[CR], stage: [Shuffle]
[Block 11 | Node 0] Verify[CR], stage: [Shuffle]
[Block 11 | Node 0] Update[CR], stage: [Shuffle]
[Block 12 | Node 0] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 0: Verify Shuffle error: res is false
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 9 | Node 0] Mining, stage: [Shuffle]
[Block 9 | Node 0] Update, stage: [Shuffle]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 9 | Node 0] Update[CR], stage: [Shuffle]
[Block 10 | Node 0] Verify[CR], stage: [Shuffle]
[Block 10 | Node 0] Update[CR], stage: [Shuffle]
[Block 11 | Node 0] Verify[CR], stage: [Shuffle]
[Block 11 | Node 0] Update[CR], stage: [Shuffle]
[Block 12 | Node 0] Verify[CR], stage: [Shuffle]
[Verify]: Shuffle [CR] | Node 12, Height 0: Verify Shuffle error: res is false
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR]-Init: Verify SRS error: updated setup is not build on the work of the preceding participants
[Block 10 | Node 0] Mining, stage: [Shuffle]
[Block 10 | Node 0] Update, stage: [Shuffle]
[Block 1 | Node 0] Verify[CR], stage: [Init]
[Block 1 | Node 0] Update[CR], stage: [Init]
[Block 2 | Node 0] Verify[CR], stage: [Init]
[Block 2 | Node 0] Update[CR], stage: [Init]
[Block 3 | Node 0] Verify[CR], stage: [Init]
[Block 3 | Node 0] Update[CR], stage: [Init]
[Block 4 | Node 0] Verify[CR], stage: [Init]
[Block 4 | Node 0] Update[CR], stage: [Init]
[Block 5 | Node 0] Verify[CR], stage: [Init]
[Block 5 | Node 0] Update[CR], stage: [Init]
[Block 6 | Node 0] Verify[CR], stage: [Init]
[Block 6 | Node 0] Update[CR], stage: [Init]
[Block 7 | Node 0] Verify[CR], stage: [Init]
[Block 7 | Node 0] Update[CR], stage: [Init]
[Block 8 | Node 0] Verify[CR], stage: [Init]
[Block 8 | Node 0] Update[CR], stage: [Init]
[Block 9 | Node 0] Verify[CR], stage: [Shuffle]
[Block 9 | Node 0] Update[CR], stage: [Shuffle]
[Block 10 | Node 0] Verify[CR], stage: [Shuffle]
[Block 10 | Node 0] Update[CR], stage: [Shuffle]
[Block 11 | Node 0] Verify[CR], stage: [Shuffle]
